race_number,post_position,horse_name,jockey,trainer,weight,medication,morning_line_odds
13,6,6,Isle Be Ready (KY),,3/F,L,J   Rosario
13,7,7,Grove City Sunset (KY),,3/F,L,J R Velazquez
13,8,8,Bea Trix (KY),,3/F,L,L   Dettori
13,9,9,Theravada (KY),,3/F,L,L   Saez
13,10,10,Good Game (KY),,3/F,L,F   Prat
13,11,11,Wedding Mood (IRE),,3/F,L,"I   Ortiz, Jr."
13,12,12,Super Maxima (KY),,3/F,,J   Riquelme
13,SCR,Oak Alley (KY),,------------------------------------Scratched-------------------------------------,4/1,,
13,SCR,McKinzie River (KY),,------------------------------------Scratched-------------------------------------,30/1,,
13,SCR,Strive for Honor (KY),,------------------------------------Scratched-------------------------------------,6/1,,
13,SCR,Bit of Frost (KY),,------------------------------------Scratched-------------------------------------,8/1,,
14,2,2,Eyes On Italy (KY),,3/F,L,C J Hernandez
14,3,3,Lilium (KY),,3/F,L,C   Barbosa
14,4,4,Shrewd Operator (KY),,3/F,L,D   Cohen
14,5,5,Double Velocity (ON),,3/F,L,J L Ortiz
14,6,6,Isle Be Ready (KY),,3/F,L,J   Rosario
14,7,7,Grove City Sunset (KY),,3/F,L,J R Velazquez
14,8,8,Bea Trix (KY),,3/F,L,L   Dettori
14,9,9,Theravada (KY),,3/F,L,L   Saez
14,10,10,Good Game (KY),,3/F,L,F   Prat
14,11,11,Wedding Mood (IRE),,3/F,L,"I   Ortiz, Jr."
14,12,12,Super Maxima (KY),,3/F,,J   Riquelme
14,SCR,Oak Alley (KY),,------------------------------------Scratched-------------------------------------,4/1,,
14,SCR,McKinzie River (KY),,------------------------------------Scratched-------------------------------------,30/1,,
14,SCR,Strive for Honor (KY),,------------------------------------Scratched-------------------------------------,6/1,,
14,SCR,Bit of Frost (KY),,------------------------------------Scratched-------------------------------------,8/1,,
18,SCR,Sight (KY),,-------------------------------------Scratched-------------------------------------,12/1,,
18,3,3,Goldbrick (KY),,4/G,L,"$80,000"
18,4,4,Standard of Proof (KY),,5/G,L,"$80,000"
18,5,5,Trade Imbalance (KY),,4/C,L,"$80,000"
18,6,6,Frosty Indulgence (KY),,4/G,L,"$80,000"
18,7,7,Honest Al (KY),,4/C,L,"$80,000"
18,SCR,Tunisian Spring (KY),,-------------------------------------Scratched-------------------------------------,5/2,,
18,9,9,Riddle Solver (KY),,4/G,L,"$80,000"
18,10,10,Gamblers Tail (KY),,4/C,L,"$80,000"
18,11,11,Indy Magic (KY),,4/G,L,"$80,000"
19,SCR,Sight (KY),,-------------------------------------Scratched-------------------------------------,12/1,,
19,3,3,Goldbrick (KY),,4/G,L,"$80,000"
19,4,4,Standard of Proof (KY),,5/G,L,"$80,000"
19,5,5,Trade Imbalance (KY),,4/C,L,"$80,000"
19,6,6,Frosty Indulgence (KY),,4/G,L,"$80,000"
19,7,7,Honest Al (KY),,4/C,L,"$80,000"
19,SCR,Tunisian Spring (KY),,-------------------------------------Scratched-------------------------------------,5/2,,
19,9,9,Riddle Solver (KY),,4/G,L,"$80,000"
19,10,10,Gamblers Tail (KY),,4/C,L,"$80,000"
19,11,11,Indy Magic (KY),,4/G,L,"$80,000"
23,2,2,Conquering Cat (KY),,3/C,L,L   Saez
23,3,3,Solid Left (KY),,3/C,L,F   Prat
23,4,4,El Cordobes (KY),,3/C,,A   Calleja
23,5,5,Ready for Peace (KY),,3/C,L,V   Cheminaud
23,SCR,Master of Light (KY),,------------------------------------Scratched-------------------------------------,30/1,,
23,7,7,Mesero (KY),,3/C,L,C J Lanerie
23,8,8,Sing Sing (KY),,3/G,L,"I   Ortiz, Jr."
23,9,9,Assertiveness (KY),,3/C,L,J R Velazquez
23,10,10,States' Rights (VA),,3/C,L,J L Ortiz
23,11,11,Warlander (KY),,3/C,L,J   Rosario
23,12,12,Mika (KY),,3/C,L,J A Torres
23,13,13,After Taxes (IRE),,3/G,L,J R Velazquez
23,SCR,Spinback (KY),,------------------------------------Scratched-------------------------------------,30/1,,
23,SCR,Chris's Revenge (KY),,------------------------------------Scratched-------------------------------------,20/1,,
24,2,2,Conquering Cat (KY),,3/C,L,L   Saez
24,3,3,Solid Left (KY),,3/C,L,F   Prat
24,4,4,El Cordobes (KY),,3/C,,A   Calleja
24,5,5,Ready for Peace (KY),,3/C,L,V   Cheminaud
24,SCR,Master of Light (KY),,------------------------------------Scratched-------------------------------------,30/1,,
24,7,7,Mesero (KY),,3/C,L,C J Lanerie
24,8,8,Sing Sing (KY),,3/G,L,"I   Ortiz, Jr."
24,9,9,Assertiveness (KY),,3/C,L,J R Velazquez
24,10,10,States' Rights (VA),,3/C,L,J L Ortiz
24,11,11,Warlander (KY),,3/C,L,J   Rosario
24,12,12,Mika (KY),,3/C,L,J A Torres
24,13,13,After Taxes (IRE),,3/G,L,J R Velazquez
24,SCR,Spinback (KY),,------------------------------------Scratched-------------------------------------,30/1,,
24,SCR,Chris's Revenge (KY),,------------------------------------Scratched-------------------------------------,20/1,,
28,2,2,Deer District (KY),,5/G,L,$0
28,3,3,Speak Easy (KY),,4/C,L,$0
28,4,4,Discreet Mischief (KY),,4/C,L,$0
28,5,5,Harrodsburg (KY),,5/G,L,$0
28,SCR,Wico (IRE),,-------------------------------------Scratched-------------------------------------,4/1,,
28,7,7,Code Omaha (KY),,4/C,L,$0
28,8,8,Eye Witness (NY),,5/H,L,"$80,000"
28,9,9,Call Me Andy (MD),,4/G,L,$0
29,2,2,Deer District (KY),,5/G,L,$0
29,3,3,Speak Easy (KY),,4/C,L,$0
29,4,4,Discreet Mischief (KY),,4/C,L,$0
29,5,5,Harrodsburg (KY),,5/G,L,$0
29,SCR,Wico (IRE),,-------------------------------------Scratched-------------------------------------,4/1,,
29,7,7,Code Omaha (KY),,4/C,L,$0
29,8,8,Eye Witness (NY),,5/H,L,"$80,000"
29,9,9,Call Me Andy (MD),,4/G,L,$0
33,2,2,Fact (KY),,3/G,L,"I   Ortiz, Jr."
33,3,3,Chambers (KY),,3/G,L,A   Beschizza
33,4,4,Discerning Spirit (KY),,3/G,,L   Sosa
33,5,5,Baker Hayfield (KY),,3/C,L,G   Saez
33,6,6,Bourbon Flight (KY),,3/C,L,J   Rosario
33,7,7,Big Truzz (KY),,3/C,L,L   Saez
33,8,8,Zandvoort (KY),,3/C,L,J L Ortiz
33,9,9,Vex (KY),,3/G,L,L   Machado
33,10,10,Nantucket (KY),,3/C,L,M   Franco
33,SCR,Sinister Smile (KY),,------------------------------------Scratched-------------------------------------,30/1,,
33,12,12,Modus Bestia (MD),,3/C,L,R   Gutierrez
34,2,2,Fact (KY),,3/G,L,"I   Ortiz, Jr."
34,3,3,Chambers (KY),,3/G,L,A   Beschizza
